date,first_boot,last_shutdown,total_span,total_span_minutes
2024-06-12,17:22:15,18:02:45,0.40,40
2024-06-13,14:12:01,17:56:15,3.44,224
2024-06-14,15:02:34,18:50:02,3.47,227
2024-06-17,14:40:32,,,
2024-06-18,,18:05:57,,
2024-06-19,15:18:18,,,
2024-06-20,14:11:48,17:01:58,2.50,170
2024-06-21,14:07:46,,,
2024-06-24,15:08:09,18:20:27,3.12,192
2024-06-25,15:01:15,18:05:07,3.03,183
2024-06-26,15:06:38,18:02:50,2.56,176
2024-06-27,15:01:12,18:19:13,3.18,198
2024-06-28,15:11:13,18:02:18,2.51,171
2024-07-01,15:47:55,18:21:58,2.34,154
2024-07-02,15:07:51,17:58:56,2.51,171
2024-07-03,15:06:37,,,
2024-07-04,15:08:19,18:38:22,3.30,210
2024-07-08,10:54:25,18:59:41,8.05,485
2024-07-09,09:03:36,18:11:18,9.07,547
2024-07-10,08:42:29,18:11:41,9.29,569
2024-07-11,09:01:44,18:01:00,8.59,539
2024-07-12,09:02:49,17:58:22,8.55,535
2024-07-15,08:52:49,18:03:13,9.10,550
2024-07-16,09:05:37,17:57:06,8.51,531
2024-07-17,09:01:39,18:15:16,9.13,553
2024-07-18,09:05:40,19:06:04,10.00,600
2024-07-19,09:01:38,18:17:22,9.15,555
2024-07-22,09:05:17,18:00:21,8.55,535
2024-07-23,08:57:52,18:11:50,9.13,553
2024-07-24,09:00:59,18:34:52,9.33,573
2024-07-25,09:06:38,17:58:54,8.52,532
2024-07-26,09:12:21,18:11:01,8.58,538
2024-07-29,08:52:30,18:04:05,9.11,551
2024-07-30,08:59:45,18:06:46,9.07,547
2024-07-31,08:48:05,18:00:07,9.12,552
2024-08-05,09:04:31,17:57:31,8.53,533
2024-08-06,08:53:39,17:56:40,9.03,543
2024-08-07,08:52:14,17:58:11,9.05,545
2024-08-08,08:47:40,18:01:50,9.14,554
2024-08-09,08:46:12,17:58:33,9.12,552
2024-08-12,08:57:01,18:05:51,9.08,548
2024-08-13,08:46:32,18:12:21,9.25,565
2024-08-14,08:46:37,18:02:45,9.16,556
2024-08-16,08:52:02,18:00:24,9.08,548
2024-08-19,09:00:05,18:04:39,9.04,544
2024-08-20,08:55:30,17:59:27,9.03,543
2024-08-21,08:50:17,18:16:29,9.26,566
2024-08-22,08:55:49,18:12:07,9.16,556
2024-08-23,08:58:15,18:04:00,9.05,545
2024-08-26,10:03:05,19:04:14,9.01,541
2024-08-27,09:58:05,19:04:10,9.06,546
2024-08-28,10:05:15,18:48:23,8.43,523
2024-08-29,09:59:04,19:13:00,9.13,553
2024-08-30,09:53:53,19:01:54,9.08,548
2024-09-02,09:55:57,19:02:06,9.06,546
2024-09-03,09:30:30,18:33:29,9.02,542
2024-09-04,09:04:08,18:00:46,8.56,536
2024-09-05,08:53:35,17:59:05,9.05,545
2024-09-06,09:02:20,18:03:03,9.00,540
2024-09-09,08:54:57,,,
2024-09-10,,18:34:13,,
2024-09-11,09:03:29,17:26:45,8.23,503
2024-09-12,08:55:21,18:01:12,9.05,545
2024-09-13,09:02:24,17:03:36,8.01,481
2024-09-19,08:48:36,18:07:39,9.19,559
2024-09-20,09:00:21,18:02:44,9.02,542
2024-09-23,08:53:59,18:04:08,9.10,550
2024-09-24,08:52:43,18:44:32,9.51,591
2024-09-25,08:55:13,17:23:54,8.28,508
