date,minutes
2024-06-12,40
2024-06-13,224
2024-06-14,227
2024-06-17,1645
2024-06-18,1645
2024-06-19,1543
2024-06-20,170
2024-06-21,4572
2024-06-24,192
2024-06-25,183
2024-06-26,176
2024-06-27,198
2024-06-28,171
2024-07-01,154
2024-07-02,171
2024-07-03,1651
2024-07-04,210
2024-07-08,485
2024-07-09,547
2024-07-10,569
2024-07-11,539
2024-07-12,535
2024-07-15,550
2024-07-16,531
2024-07-17,553
2024-07-18,600
2024-07-19,555
2024-07-22,535
2024-07-23,553
2024-07-24,573
2024-07-25,532
2024-07-26,538
2024-07-29,551
2024-07-30,547
2024-07-31,552
2024-08-05,533
2024-08-06,543
2024-08-07,545
2024-08-08,554
2024-08-09,552
2024-08-12,548
2024-08-13,565
2024-08-14,556
2024-08-16,548
2024-08-19,544
2024-08-20,543
2024-08-21,566
2024-08-22,556
2024-08-23,545
2024-08-26,541
2024-08-27,546
2024-08-28,523
2024-08-29,553
2024-08-30,548
2024-09-02,546
2024-09-03,542
2024-09-04,536
2024-09-05,545
2024-09-06,540
2024-09-09,2019
2024-09-10,2019
2024-09-11,503
2024-09-12,545
2024-09-13,481
2024-09-19,559
2024-09-20,542
2024-09-23,550
2024-09-24,591
2024-09-25,508
2024-09-26,534
2024-09-27,588
2024-09-30,547
2024-10-02,535
2024-10-04,547
2024-10-07,552
2024-10-08,547
2024-10-10,551
2024-10-11,544
2024-10-14,542
2024-10-15,546
2024-10-16,552
2024-10-17,549
2024-10-18,559
2024-10-21,545
2024-10-22,552
2024-10-23,535
2024-10-24,1980
2024-10-25,1980
2024-10-28,553
2024-10-29,551
2024-10-30,559
2024-10-31,554
2024-11-01,536
2024-11-04,521
2024-11-05,582
2024-11-06,588
2024-11-07,544
2024-11-08,549
2024-11-11,545
2024-11-12,527
2024-11-13,564
2024-11-14,580
2024-11-15,543
2024-11-18,536
2024-11-19,550
2024-11-20,549
2024-11-21,541
2024-11-22,548
2024-11-25,544
2024-11-26,544
2024-11-27,544
2024-11-28,540
2024-11-29,641
2024-12-02,572
2024-12-03,545
2024-12-04,506
2024-12-05,626
2024-12-06,4837
2024-12-09,4837
2024-12-10,537
2024-12-11,596
2024-12-12,621
2024-12-13,4864
2024-12-16,4864
2024-12-17,551
2024-12-18,545
2024-12-19,545
2024-12-20,4836
2024-12-23,4836
2024-12-24,465
2024-12-26,554
2024-12-27,560
2024-12-30,538
2024-12-31,477
2025-01-02,540
2025-01-03,554
2025-01-06,554
2025-01-07,1957
2025-01-08,1957
2025-01-09,533
2025-01-10,552
2025-01-13,541
2025-01-14,537
2025-01-15,533
2025-01-16,572
2025-01-17,532
2025-01-20,518
2025-01-21,598
2025-01-22,551
2025-01-23,536
2025-01-24,10630
2025-01-31,10630
2025-02-03,549
2025-02-04,536
2025-02-05,548
2025-02-06,531
2025-02-07,543
2025-02-10,549
2025-02-11,545
2025-02-12,534
2025-02-13,541
2025-02-14,568
2025-02-17,537
2025-02-18,545
2025-02-19,541
2025-02-20,541
2025-02-21,531
2025-02-24,543
2025-02-25,543
2025-02-26,549
2025-02-27,606
2025-02-28,9216
2025-03-06,9216
2025-03-07,551
2025-03-10,541
2025-03-11,473
2025-03-12,560
2025-03-13,541
2025-03-14,550
2025-03-17,543
2025-03-18,545
2025-03-19,560
2025-03-20,541
2025-03-21,536
2025-03-24,549
2025-03-25,541
2025-03-26,538
2025-03-27,542
2025-03-28,559
2025-03-31,545
2025-04-01,509
2025-04-02,547
2025-04-03,544
2025-04-04,537
2025-04-07,565
2025-04-08,539
2025-04-09,513
2025-04-10,544
2025-04-11,547
2025-04-14,4799
2025-04-17,4799
2025-04-18,4906
2025-04-21,4906
2025-04-22,589
2025-04-23,9228
2025-04-29,9228
2025-04-30,552
2025-05-02,9186
2025-05-08,9186
2025-05-09,574
2025-05-12,570
2025-05-13,1974
2025-05-14,1974
2025-05-15,541
2025-05-16,589
2025-05-19,584
2025-05-20,67
2025-05-21,1924
2025-05-22,545
2025-05-23,529
2025-05-26,538
2025-05-27,515
2025-05-28,567
2025-05-29,553
2025-05-30,543
2025-06-02,540
2025-06-04,598
2025-06-05,478
2025-06-09,554
2025-06-10,548
2025-06-11,539
2025-06-12,547
2025-06-13,543
2025-06-16,550
2025-06-17,540
2025-06-18,540
2025-06-19,579
2025-06-20,514
2025-06-23,544
2025-06-24,544
2025-06-25,551
2025-06-26,597
2025-06-27,511
2025-07-01,532
2025-07-02,555
2025-07-03,611
2025-07-04,476
2025-07-07,546
2025-07-08,543
2025-07-09,552
2025-07-10,554
2025-07-11,560
2025-07-14,566
2025-07-15,552
2025-07-16,559
2025-07-17,568
2025-07-18,558
2025-07-21,569
2025-07-22,542
2025-07-23,550
2025-07-24,563
2025-07-25,548
2025-07-27,132657
2025-10-27,455
2025-10-28,541
2025-10-29,539
2025-10-30,540
2025-10-31,549
2025-11-03,525
2025-11-04,541
2025-11-05,549
2025-11-06,471
2025-11-07,528
2025-11-10,345
2025-11-11,531
2025-11-12,524
2025-11-13,548
2025-11-14,525
2025-11-17,540
2025-11-18,542
2025-11-19,565
2025-11-20,546
2025-11-21,556
2025-11-24,538
2025-11-25,558
2025-11-26,609
2025-11-27,543
2025-11-28,232
2025-12-01,541
2025-12-02,540
2025-12-03,546
2025-12-04,876
